Item_No,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Author_Year,Reference_Number,Comment1,Comment2,Comment3,Original_Composition_Formula
123,A2B,Mg2Ni,5.2,-20.5,600.0,60000.0,"Chen, 2000",1234.0,,"P=60,000 atm @ 600C",,Mg2Ni
124,A2B,Mg2Co0.25Ni0.75,3.1,64.5,279.0,1.0,"Darnaudery, 1983",418.0,,,,Mg2Ni.75Co.25
125,A2B,Mg2Co25Ni0.75,3.4,-34.5,300.0,1.0,"Yang, 2000",1233.0,,,,Mg2Ni.75Co25
126,A2B,Mg2Cr0.25Ni0.75,3.0,59.9,248.0,1.0,"Darnaudery, 1983",418.0,,,,Mg2Ni.75Cr.25
127,A2B,Mg2Cu0.25Ni0.75,0.45,53.2,227.0,1.0,"Darnaudery, 1983",418.0,,,,Mg2Ni.75Cu.25
128,A2B,Mg2Fe0.25Ni0.75,2.8,63.2,253.0,1.0,"Darnaudery, 1983",418.0,,,,Mg2Ni.75Fe.25
129,A2B,Mg2Fe0.25Ni0.75,3.3,65.2,300.0,1.9,"Yuan, 1997",828.0,,Includes free Mg,,Mg2Ni.75Fe.25 (M)
130,A2B,Mg2V0.25Ni0.75,2.9,62.4,250.0,1.0,"Darnaudery, 1983",418.0,,,,Mg2Ni.75V.25
131,A2B,Mg2Zn0.25Ni0.75,3.3,61.5,246.0,1.0,"Darnaudery, 1983",418.0,,,,Mg2Ni.75Zn.25
132,A2B,Mg2Co0.25Ni0.75,3.2,61.0,250.0,0.5,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni0.75Co0.25
133,A2B,Mg2Cr0.25Ni0.75,3.2,61.0,250.0,0.9,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni0.75Cr0.25
134,A2B,Mg2Cu0.25Ni0.75,3.2,59.0,250.0,1.2,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni0.75Cu0.25
135,A2B,Mg2Fe0.25Ni0.75,3.2,60.0,250.0,1.0,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni0.75Fe0.25
136,A2B,Mg2Mn0.25Ni0.75,3.2,58.0,250.0,1.0,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni0.75Mn0.25
137,A2B,Mg2Ti0.25Ni0.75,3.2,56.0,250.0,1.2,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni0.75Ti0.25
138,A2B,Mg2Ti0.25Ni0.75,3.2,59.0,250.0,1.3,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni0.75Ti0.25
139,A2B,Mg2Zr0.3Ni0.7,3.5,59.8,340.0,10.0,"Zhang, 1998",1465.0,,,,Mg2Ni0.7Zr0.3
141,AB,ScAl,1.1,-20.5,420.0,1.0,"Semenenko, 1985",1151.0,,,,ScAl
142,AB,SmMg,0.35,-24.5,150.0,1.5,"Beck, 1962",45.0,,,,SmMg
143,AB,ThCo,1.2,-45.2,300.0,1000.0,"Beck, 1962",45.0,,,,ThCo
144,AB,ThCo,1.4,46.8,40.0,0.05,"Buschow, 1975",187.0,,,,ThCo
145,AB,ThNi,1.2,45.3,40.0,0.01,"Buschow, 1975",187.0,,,,ThNi
146,AB,Zr0.08Ti0.42Fe0.5,0.7,-15.6,50.0,12.0,"Rajalakshmi, 1999",1221.0,,,,Ti.42Zr.08Fe.50
147,AB,Ti0.46Mn0.05V0.05Fe0.45,1.7,28.6,22.0,2.0,"Mitrokhin, 1993",396.0,,,,Ti.46Fe.45V.05Mn.05
148,AB,Ti0.48Mn0.025V0.025Fe0.47,1.7,-25.3,22.0,2.0,"Verbetsky, 1998",1219.0,,,,Ti.48Fe.47V.025Mn.025
149,AB,Zr0.04Ti0.96Nb0.04Fe0.95,1.7,31.8,30.0,1.4,"Sasai, 1983",79.0,,,,Ti.96Zr.04Fe.95Nb.04
150,AB,Ti0.9Fe0.9B0.2,1.5,7.6,27.0,14.0,"Rajalakshmi, 1998",852.0,,,,Ti.9Fe.9B.2
151,AB,La0.1Ti0.9Co1,1.5,60.0,150.0,3.2,"Kato, 1981",83.0,,,,Ti.9La.1Co
152,AB,Zr0.1Ti0.9Fe1,1.0,28.9,30.0,3.3,"Jang, 1986",397.0,,,,Ti.9Zr.1Fe
153,AB,Ti1.1Fe1,1.6,-45.8,50.0,5.0,"Lee, 2000",1223.0,,,,Ti1.1Fe
154,AB,Ti1.1Fe1B0.001,1.1,-37.8,50.0,10.0,"Lee, 2000",1223.0,,,,Ti1.1FeB.001
155,AB,Ti1.1Fe1C0.001,1.3,-15.3,50.0,6.0,"Lee, 2000",1223.0,,,sloping plateau,Ti1.1FeC.001
156,AB,Ti1.3Fe1,1.9,-45.8,25.0,2.0,"Ma, 2000",1222.0,,,sloping plateau,Ti1.3Fe
166,AB,TiCo,1.1,61.1,150.0,2.2,"Someno, 1979",381.0,,,,TiCo
167,AB,TiCo,1.3,57.8,150.0,2.2,"Osumi, 1980",80.0,,,,TiCo
168,AB,TiCo,1.4,57.4,155.0,4.0,"Yamanaka, 1975",73.0,,,,TiCo
169,AB,TiCo,0.7,-16.5,116.0,5.2,"Reilly, 1976",490.0,,,,TiCo (M)
170,AB,TiCo,1.45,54.0,152.0,2.0,"Burch, 1979",500.0,,,,TiCo (M)
171,AB,Ti1Fe0.5Co0.5,1.1,42.3,100.0,4.0,"Suzuki, 1981",82.0,,,,TiCo.5Fe.5
172,AB,Ti1Mn0.5Co0.5,1.6,46.9,120.0,3.2,"Osumi, 1980",80.0,,,,TiCo.5Mn.5
177,AB,TiCu,0.4,-32.5,300.0,0.0,"Beck, 1962",45.0,,,,TiCu
178,AB,TiCu,0.6,-17.5,500.0,0.19,"Arita, 1979",495.0,,,,TiCu
179,AB,TiCu,1.3,-12.5,500.0,0.2,"Someno, 1979",381.0,,,,TiCu
180,AB,TiCu,1.7,75.0,200.0,0.004,"Maeland, 1978",389.0,,,,TiCu
182,AB,TiCu,1.8,-12.5,450.0,101.3,"Yamanaka, 1975",73.0,,,,TiCu
183,AB,TiCu,1.6,126.0,500.0,0.15,"Kadel, 1978",523.0,,,,TiCu (M)
186,AB,TiFe,1.7,26.7,51.0,11.0,"Yamanaka, 1975",73.0,,,,TiFe (M)
187,AB,TiFe,1.9,28.1,30.0,5.2,"Reilly, 1974",319.0,,,,TiFe (M)
188,AB,Ti1Fe0.5Co0.5,1.1,41.4,150.0,12.0,"Someno, 1979",381.0,,,,TiFe.5Co.5
189,AB,Ti1Fe0.6Ni0.4,1.5,48.6,50.0,0.035,"Bershadsky, 1993",395.0,,,,TiFe.6Ni.4
191,AB,Ti1Mn0.2Fe0.7,2.0,34.7,40.0,1.4,"Reilly, 1976",383.0,,,,TiFe.7Mn.2
192,AB,Ti1Mn0.3Fe0.7,1.6,-10.5,40.0,1.3,"Sandrock, 1976",76.0,,,,TiFe.7Mn.3
193,AB,Ti1Fe0.88,2.0,-24.5,40.0,4.0,"Reilly, 1974",319.0,,,,TiFe.88
194,AB,Ti1Be0.2Fe0.8,1.4,30.5,21.0,0.7,"Bruzzone, 1980",421.0,,,,TiFe.8Be.2
195,AB,Ti1Cr0.2Fe0.8,1.8,-15.8,40.0,0.4,"Reilly, 1976",490.0,,,,TiFe.8Cr.2 (M)
196,AB,Ti1Nb0.05Fe0.8Ni0.15,1.1,-12.5,150.0,7.0,"Oguro, 1983",78.0,,,,TiFe.8Ni.15Nb.05
197,AB,Ti1V0.05Fe0.8Ni0.15,1.3,41.0,150.0,7.0,"Oguro, 1983",78.0,,,,TiFe.8Ni.15V.05
198,AB,Ti1Fe0.8Ni0.2,1.0,41.9,50.0,0.28,"Mintz, 1981",390.0,,,,TiFe.8Ni.2
199,AB,Ti1Fe0.8Ni0.2,1.2,-45.7,150.0,9.0,"Oguro, 1983",78.0,,,,TiFe.8Ni.2
200,AB,Ti1Fe0.8Ni0.2,1.3,41.2,50.0,0.33,"Huston, 1980",77.0,,,,TiFe.8Ni.2
201,AB,Ti1Al0.06Fe0.94,1.2,-45.8,30.0,5.0,"Lim, , 1984",548.0,,,,TiFe.94Al.06
202,AB,Ti1Cr0.05Fe0.95,1.7,-20.5,40.0,4.0,"Reilly, 1976",383.0,,,,TiFe.95Cr.05 (M)
203,AB,Ti1Mn0.05Fe0.95,1.6,29.3,50.0,9.0,"Mintz, 1981",390.0,,,,TiFe.95Mn.05 (M)
204,AB,Ti1V0.05Fe0.95,1.7,-56.2,40.0,5.0,"Reilly, 1976",383.0,,,,TiFe.95V.05 (M)
205,AB,Ti1Nb0.04Fe0.96,1.7,-8.5,40.0,4.0,"Sasaki, 1981",394.0,,,,TiFe.96Nb.04
206,AB,Ti1Al0.1Fe0.9,1.3,30.0,25.0,1.2,"Bruzzone, 1981",422.0,,,,TiFe.9Al.1
207,AB,Ti1Al0.1Fe0.9,1.3,-15.2,50.0,3.0,"Lee, 1999",1211.0,,,sloping plateau,TiFe.9Al.1
208,AB,Ti1Fe0.9Co0.1,1.5,30.6,50.0,5.0,"Lee, 1999",1211.0,,,,TiFe.9Co.1
209,AB,Ti1Fe0.9Co0.1,1.8,-32.5,40.0,3.3,"Reilly, 1976",383.0,,,,TiFe.9Co.1
210,AB,Ti1Cr0.1Fe0.9,1.1,30.5,150.0,20.0,"Someno, 1979",381.0,,,,TiFe.9Cr.1
211,AB,Ti1Cr0.1Fe0.9,1.7,-40.2,40.0,1.6,"Reilly, 1976",383.0,,,,TiFe.9Cr.1 (M)
212,AB,Ti1Fe0.9Cu0.1,1.2,-12.5,40.0,2.3,"Reilly, 1976",383.0,,,,TiFe.9Cu.1
213,AB,Ti1Mn0.1Fe0.9,1.2,27.2,100.0,30.0,"Someno, 1979",381.0,,,,TiFe.9Mn.1
214,AB,Ti1Mn0.1Fe0.9,1.9,29.5,25.0,2.6,"Johnson, 1978",330.0,,,,TiFe.9Mn.1 (M)
215,AB,Ti1Fe0.9Mo0.1,1.7,-25.3,40.0,3.0,"Reilly, 1976",383.0,,,,TiFe.9Mo.1
216,AB,Ti1Fe0.9Ni0.1,1.4,35.6,50.0,1.8,"Lee, 1999",1211.0,,,,TiFe.9Ni.1
217,AB,Ti1Fe0.9Ni0.1,1.6,-5.2,40.0,0.9,"Reilly, 1972",195.0,,,,TiFe.9Ni.1
233,AB,CeAg,0.35,-15.2,1500.0,1.2,"Beck, 1962",45.0,,,,CeAg
234,AB,CeAl,0.8,-5.2,300.0,1.0,"Semenenko, 1985",1151.0,,,,CeAl
237,AB,DyAg,0.05,-19.8,450.0,1.0,"Beck, 1962",45.0,,,,DyAg
239,AB,ErAg,0.3,35.2,790.0,0.01,"Philipp, 1991",384.0,,,,ErAg
242,AB,GdAl,0.12,-68.5,450.0,5.0,"Beck, 1962",45.0,,,,GdAl
244,AB,GdMg,1.1,-22.5,200.0,0.0,"Reule, 2000",1216.0,,,,GdMg
246,AB,Gd1Mg0.1Zn0.9,0.7,-12.5,350.0,1.2,"Reule, 2000",1216.0,,,,GdZn.9Mg.1
247,AB,HfAl,0.5,-10.5,50.0,1.0,"van Essen, 1979",386.0,,,,HfAl
249,AB,HfCo,1.3,43.0,270.0,1.0,"Nemirovskaya, 1991",606.0,,,,HfCo
250,AB,HfCo,1.3,-45.8,300.0,250.0,"Mukai, 1999",1230.0,,,,HfCo
251,AB,HfCo,1.3,59.0,50.0,0.001,"van Essen, 1979",386.0,,,,HfCo
252,AB,HfNi,1.3,-27.3,50.0,0.7,"Mukai, 1999",1230.0,,,,HfNi
253,AB,HfNi,1.3,40.0,190.0,1.0,"Nemirovskaya, 1991",606.0,,,,HfNi (M)
254,AB,HfNi,1.3,50.0,50.0,0.02,"van Essen, 1979",386.0,,,,HfNi (M)
255,AB,HfPd,0.2,-10.5,250.0,150.0,"Mukai, 1999",1230.0,,,,HfPd
256,AB,LaAg,0.15,-25.8,300.0,1.0,"Beck, 1962",45.0,,,,LaAg
257,AB,LaAl,0.35,-25.3,300.0,45.0,"Beck, 1962",45.0,,,,LaAl
258,AB,LaCd,1.1,-25.0,600.0,1.0,"Beck, 1962",45.0,,,,LaCd
259,AB,LaMg,1.8,-15.4,300.0,0.0,"Beck, 1962",45.0,,,,LaMg
260,AB,LaNi,1.3,118.0,450.0,2.5,"Maeland, 1976",387.0,,,,LaNi
261,AB,LaNi,1.5,-10.5,400.0,1.0,"van Mal, 1976",103.0,,,,LaNi
266,AB,LaNi,2.0,126.0,150.0,1.0,"Ensslen, 1983",385.0,,,,LaNi
267,AB,LaNi,2.0,-26.5,250.0,0.0,"Anderson, 1973",99.0,,,,LaNi
268,AB,LaPt,0.8,-45.2,450.0,3.5,"Anderson, 1973",99.0,,,,LaPt
270,AB,Li0.94Pd1,0.9,69.2,300.0,0.02,"Sakamoto, 1995",411.0,,,,Li.94Pd
271,AB,LiPd,0.7,75.3,300.0,1.0,"Nacken, 1977",388.0,,,,LiPd
278,AB,PrSb,0.2,-36.5,450.0,1.0,"Beck, 1962",45.0,,,,PrSb
283,AB,TiNi,1.3,-10.2,200.0,1.0,"Yamanaka, 1975",73.0,,,,TiNi
284,AB,TiNi,1.3,-21.5,200.0,1.0,"Hata, 1980",74.0,,,,TiNi
286,AB,TiNi,1.4,58.0,350.0,1.0,"Burch, 1979",500.0,,,,TiNi
287,AB,TiNi,1.2,-10.5,300.0,1.0,"Reilly, 1966",489.0,,,,TiNi
288,AB,Ti1Cr0.1Ni1,1.2,-86.5,350.0,1013.0,"Hata, 1980",74.0,,,,TiNiCr.1
291,AB,UCo,0.6,55.0,150.0,0.08,"Yamamoto, 1991",398.0,,,,UCo
292,AB,YAl,0.15,-38.5,400.0,1013.0,"Beck, 1962",45.0,,,,YAl
293,AB,YAl,1.2,-4.8,300.0,1013.0,"Semenenko, 1985",1151.0,,,,YAl
298,AB,Hf0.5Zr0.5Co1,1.1,76.2,200.0,0.2,"Konishi, 1995",858.0,,,,Zr.5Hf.5Co
300,AB,Hf0.3Zr0.7Co1,1.4,80.3,200.0,0.03,"Konishi, 1995",858.0,,,,Zr.7Hf.3Co
301,AB,Zr0.7Ti0.3Co0.7Ni0.3,1.1,-52.3,100.0,0.2,"Shimizu, 1999",1212.0,,,,Zr.7Ti.3Co.7Ni.3
308,AB,ZrCo,1.2,90.0,252.0,0.05,"Devillers, 1989",399.0,,,,ZrCo
309,AB,ZrCo,0.7,-105.6,365.0,0.4,"Reilly, 1966",489.0,,,,ZrCo
310,AB,ZrCo,1.7,76.3,200.0,0.005,"Konishi, 1995",858.0,,,,ZrCo
311,AB,ZrCo,2.0,66.0,430.0,1.0,"Nemirovskaya, 1991",606.0,,,,ZrCo
312,AB,ZrCo,1.6,67.0,200.0,0.013,"Irvine, 1978",70.0,,,,ZrCo (M)
313,AB,Zr1Co0.84Ni0.16,1.6,83.0,250.0,0.01,"Irvine, 1980",400.0,,,,ZrCo.84Ni.16 (M)
314,AB,ZrNi,1.2,47.5,300.0,0.005,"Luo, 1990",550.0,,,,ZrNi
315,AB,ZrNi,1.7,40.1,250.0,0.2,"Cantrell, 1995",409.0,,,,ZrNi
316,AB,ZrNi,1.8,76.8,250.0,0.26,"Libowitz, 1958",68.0,,,,ZrNi
318,AB,ZrNi,2.0,64.0,300.0,1.0,"Nemirovskaya, 1991",606.0,,,,ZrNi
319,AB,Zr1Co0.2Ni0.8,1.8,-45.2,232.0,0.06,"Sandrock, 1987",336.0,,,,ZrNi.8Co.2
320,AB2,Y0.4Sc0.4Ti0.2Co2,1.4,-64.5,470.0,1013.0,"Burnasheva, 1981",64.0,,,,(Sc.4Y.4Ti.2)Co2
321,AB2,Zr0.2625Ti0.7875Mn0.8V0.05Cr1.05Cu0.1,1.8,-45.2,30.0,3.0,"Park, 2001",1280.0,,,,(Ti.75Zr.25)1.05Mn.8Cr1.05V.05Cu.1
324,AB2,Ca0.25Mg0.75Ni2,1.2,-41.2,450.0,1.0,"Oesterreicher, 1980",43.0,,,,Ca.25Mg.75Ni2
326,AB2,Ca1Al1.8B0.2,0.7,-12.5,40.0,3.0,"Tanaka, 1995",416.0,,,,CaAl1.8B.2 (M)
330,AB2,CaNi2,2.1,85.0,25.0,0.05,"Oesterreicher, 1980",43.0,,,,CaNi2
333,AB2,Ce1Al1.25Cr0.75,0.6,-45.2,21.0,0.05,"Gross, 1996",630.0,,,,CeAl1.25Cr.75
334,AB2,Ce1Al1.5Co0.5,1.1,-25.3,450.0,0.0,"Jacob, 1981",459.0,,,,CeAl1.5Co.5
335,AB2,Ce1Al0.5Co1.5,1.8,-20.5,350.0,1.2,"Jacob, 1981",459.0,,,,CeCo1.5Al.5
338,AB2,CeCo2,1.4,-50.2,420.0,1.2,"Burnasheva, 1977",520.0,,,,CeCo2
340,AB2,CeCo2,1.6,-14.2,420.0,1.2,"Guidotti, 1977",105.0,,,,CeCo2
341,AB2,CeCo2,1.6,-76.5,350.0,1.5,"Jacob, 1981",459.0,,,,CeCo2
344,AB2,CeFe2,0.15,-34.5,420.0,1.0,"Beck, 1962",45.0,,,,CeFe2
345,AB2,CeFe2,1.3,-45.2,420.0,42.0,"Burnasheva, 1977",520.0,,,,CeFe2
347,AB2,CeMg2,3.1,101.0,216.0,0.1,"Verbetsky, 1989",1155.0,,,,CeMg2
348,AB2,CeMg2,3.2,-20.5,470.0,1.2,"Kost, 1979",515.0,,,,CeMg2
350,AB2,Ce1Mn0.5Al0.75,0.6,-35.2,27.0,1.2,"Spatz, 1997",823.0,,,,CeMn.5Al.75
351,AB2,Ce1Mn0.5Al0.75,0.6,-45.2,27.0,1.05,"Spatz, 1997",823.0,,,,CeMn.5Al.75 (M)
352,AB2,Ce1Mn1.5Al0.5,1.3,-15.2,350.0,1.2,"Gross, 2000",1270.0,,Deuterium,,CeMn1.5Al.5
353,AB2,CeMnAl,0.9,-12.5,21.0,0.05,"Gross, 1996",630.0,,,,CeMnAl
354,AB2,CeMnAl,1.1,-25.4,27.0,0.4,"Spatz, 1997",824.0,,,,CeMnAl (M)
355,AB2,CeNi2,0.55,-20.5,450.0,20.0,"Beck, 1962",45.0,,,,CeNi2
357,AB2,CeNi2,1.5,-45.7,350.0,1.2,"Guidotti, 1977",105.0,,,,CeNi2
362,AB2,CeRu2,1.5,-54.3,200.0,1.0,"Shaltiel, 1977",14.0,,,,CeRu2
364,AB2,DyCo2,1.2,-42.5,420.0,1.2,"Cohen, 1980",517.0,,,,DyCo2
365,AB2,DyCo2,1.3,-46.2,420.0,320.0,"Burnasheva, 1977",520.0,,,,DyCo2
366,AB2,DyFe2,1.2,-25.4,620.0,0.0,"Cohen, 1980",517.0,,,,DyFe2
368,AB2,DyFe2,1.5,58.0,80.0,0.0001,"Kierstead, 1980",356.0,,,,DyFe2 (M)
369,AB2,DyFe2,2.7,-4.75,21.0,0.03,"Pourarian, 1980",357.0,,,,DyFe2 (M)
376,AB2,ErCo2,1.2,-48.5,450.0,1.0,"Burnasheva, 1979",519.0,,,,ErCo2
377,AB2,PrCo2,1.5,-16.8,420.0,1.2,"Burnasheva, 1979",519.0,,,,PrCo2
379,AB2,PrNi2,1.5,-10.5,420.0,8.0,"Burnasheva, 1977",520.0,,,,PrNi2
384,AB2,ScFe2,2.0,-56.4,140.0,1.0,"Shilov, 1981",530.0,,,,ScFe2
