CVD Method,Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2
APCVD,0.1956177844,200.0,9.6334,Cu foil,1,42.0,66.8,30.0,2108.3,12.253
LPCVD,0.14895490279999998,450.0,13.6,Cu foil,1,42.0,66.8,30.0,2108.3,12.253
APCVD,0.14895490279999998,450.0,13.6,Cu foil,1,42.0,66.8,30.0,2108.3,12.253
LPCVD,0.8358311632,500.0,41.6,Cu foil,1,40.4,66.8,30.0,2108.3,12.253
CVD,202.8510960434,800.0,73.6,Cu film,ML,174.8,23.52,30.0,156.0,19.6
APCVD,0.1956177844,300.0,9.6334,Cu foil,1,42.0,66.8,30.0,2108.3,12.253
LPCVD,365.76999034,750.0,81.5,Cu foil,ML,88.8,33.519999999999996,30.0,2120.0,14.645
LPCVD,0.1956177844,265.0,9.6334,Cu foil,ML,42.0,66.8,30.0,2108.3,12.253
LPCVD,6.0935430448,525.0,73.0,AuNi film,ML,40.4,66.8,30.0,2164.0,12.253
LPCVD,0.1956177844,347.5,9.6334,MgO,ML,42.0,66.8,30.0,2108.3,12.253
PECVD,5.4022670448,600.0,87.0,Cu foil,1,48.4,66.8,30.0,2164.0,12.253
ICP-CVD,18.730790539999997,675.0,118.5,"CuNi, AuNi film",ML,143.14000000000001,77.4,30.0,2180.0,12.253000000000002
ICP-CVD,0.1956177844,300.0,9.6334,Cu film,ML,42.0,66.8,30.0,2108.3,12.253
PECVD,6.0935430448,525.0,73.0,"Sapphire, SiO2, HOPG",1,40.4,66.8,30.0,2164.0,12.253
PECVD,6.0935430448,542.5,73.0,"Sapphire, SiO2, HOPG, h-BN",1,40.4,66.8,30.0,2164.0,12.253
MPCVD,5.4022670448,600.0,87.0,Ni foil,1,48.4,66.8,30.0,2164.0,12.253
SW-MPCVD,0.1956177844,280.0,9.6334,Cu foil,ML,42.0,66.8,30.0,2108.3,12.253
PTCVD,221.36999053999997,700.0,115.5,Ni foil,ML,134.14000000000001,77.4,30.0,2180.0,14.548999999999998
ECR-CVD,0.14895490279999998,400.0,9.6334,Cu interconnects,ML,42.0,66.8,30.0,2108.3,12.253
CVD,1013.25,1000.0,20.0,Polycrystalline Ni foils,ML,100.0,15.0,30.0,200.0,7.808000000000002
CVD,1013.25,950.0,7.5,Evaporated Ni film on SiO2/Si,ML,1500.0,15.0,30.0,600.0,7.808000000000002
CVD,1013.25,800.0,8.0,Evaporated Ni film on SiO2/Si,2.5,600.0,100.0,30.0,280.0,7.808000000000002
CVD,1013.25,1000.0,7.0,Evaporated Ni film on SiO2/Si,ML,65.0,550.0,30.0,200.0,7.808000000000002
CVD,0.00202,1100.0,50.0,Polycrystalline Ni films on SiO2/Si,ML,110.4,47.8,30.0,210.0,19.6
CVD,0.666612,1000.0,45.0,Cu,1,2.0,35.0,30.0,232.0,7.7490000000000006
CVD,0.133322,1035.0,12.0,Cu,1,194.0,21.22,30.0,190.0,19.6
CVD,53.328803300000004,900.0,47.86,Ni (1 1 1),1,600.0,80.0,30.0,72.0,19.6
CVD,0.001333224,575.0,68.0,Ni (1 1 1),1,64.4,30.8,30.0,2124.0,12.253
CVD,555.52664796,1050.0,156.0,Pt (1 1 1),1,794.0,6.0,30.0,72.0,19.6
CVD,555.52664796,1040.0,42.0,Pt (1 1 1),1,700.0,4.0,30.0,72.0,19.6
CVD,255.92880220000006,915.0,77.05,Ge (semi-metal),1,50.0,0.1,30.0,124.0,13.645
CVD,133.322,915.0,68.3,Ge (1 1 0) (semi-metal),1,139.6,52.32000000000001,30.0,138.0,19.6
CVD,5e-10,847.0,15.3249,Ir (1 1 1),1,91.0,22.4,30.0,96.0,19.6
CVD,1e-10,1077.0,139.0,Ru (0 0 0 1),1,289.2,45.8,30.0,210.0,19.6
CVD,202.8510960434,800.0,73.6,Co (0 0 0 1) on SiO2/Si,1,174.8,23.52,30.0,156.0,19.6
CVD,5.5e-06,900.0,60.0,Cu-Ni alloy (5.5% Ni),1,169.0,73.7,30.0,108.0,19.6
CVD,0.666612,1000.0,38.8,Cu (25 ?m),2,100.0,70.0,30.0,92.0,19.6
CVD,0.9999178,1050.0,12.0,Cu (25 ?m),2,349.2,22.9,30.0,190.0,19.6
CVD,555.650637836,1050.0,32.0,Cu (107 ?m) Enclosure,2,50.0,1.5,30.0,630.0,13.645
CVD,0.75327138,1030.0,5.0,Cu (25 ?m) Enclosure,2,50.0,1.0,30.0,224.0,7.808000000000002
CVD,0.49995888,1000.0,41.0,Cu (25 ?m) Enclosure,2,135.4,141.0,30.0,204.0,19.6
CVD,0.933257,1000.0,45.0,Monolayer graphene covered Cu (25 ?m),2,2.0,35.0,30.0,232.0,7.7490000000000006
CVD,0.1999836,1030.0,17.0,Cu (25 ?m),2,10.0,0.1,30.0,224.0,13.645
CVD,4.999589,1070.0,139.0,Cu (25 ?m),2,200.0,100.0,30.0,50.0,19.6
Cold-Wall,410.85732042,1000.0,19.8,Cu-Ni alloy (30-70),2,45.4,130.2,30.0,240.0,19.6
CVD,5.5e-06,900.0,60.0,Cu-Ni alloy (10.4% Ni),2,169.0,73.7,30.0,108.0,19.6
CVD,0.1466546,1050.0,136.0,Cu-Ni alloy (90-10),2,2.0,3.0,30.0,224.0,13.645
CVD,0.099991776,920.0,62.6,Cu-Ni alloy (1200/400 nm),2,5.0,8.0,30.0,138.0,7.7490000000000006
CVD,3.0566345960000003,987.5,12.2,Ru (0001),1,33.2,25.4,30.0,240.0,19.6
CVD,3e-06,1147.0,2.5,Ru (0001),2,88.0,22.6,30.0,310.0,19.6
CVD,1e-07,840.0,21.3,Ir (111),1,91.0,22.4,30.0,96.0,19.6
CVD,14.93211,1000.0,30.0,Ir (111) film (300 nm),1,20.0,2.0,30.0,224.0,7.808000000000002
CVD,749.93832,1080.0,30.0,Pt (111) film (500 nm),1,850.0,6.0,30.0,312.0,19.6
CVD,202.856649666,1000.0,20.0,Co (0001) film (200 nm),1,500.0,5.0,30.0,152.0,19.6
CVD,1e-12,850.0,9.5166,Ni (111) (carbon-doped),1,91.0,22.4,30.0,96.0,19.6
CVD,1e-06,640.0,5.0,Ni (111) film (150 nm),1,72.4,30.6,30.0,2124.0,14.607999999999999
CVD,1.33e-06,400.0,10.6,Ni (111),1,66.0,30.8,30.0,2108.3,12.253
CVD,1013.25,965.0,75.0,Cu (111) film (500 nm),1,47.0,164.0,30.0,360.0,7.808000000000002
CVD,1013.25,1075.0,60.0,Cu (111) foil,1,50.0,3.0,30.0,1000.0,2.8529999999999998
CVD,213.40999204,1030.0,20.0,Cu (111) foil,1,10.0,1.0,30.0,500.0,7.808
CVD,39.9967,1060.0,60.0,Cu (111) foil,1,30.0,30.0,30.0,224.0,7.808000000000002
CVD,1013.25,750.0,60.0,Cu/Ni (111) film (600 nm),1,10.0,50.0,30.0,300.0,7.808000000000002
CVD,1013.25,1000.0,10.0,Cu/Ni (111) film (500 nm),1,10.0,10.0,30.0,500.0,7.808000000000002
CVD,1013.25,1085.0,600.0,"Cu/Ni (111) film (500 nm, 23 at% Ni)",2,421.8,113.1,30.0,270.0,7.7490000000000006
CVD,1013.25,1075.0,5.0,Cu/Ni (111) foil (1.3 to 8.6 at% Ni),1,50.0,5.0,30.0,1000.0,2.8529999999999998
CVD,53.3289,1075.0,10.0,Cu/Ni (111) foil (16.6 or 20.3 at% Ni),2,10.0,1.0,30.0,200.0,7.808000000000002
CVD,53.3289,1075.0,27.0,Cu/Ni (111) foil (23â28 at% Ni),ML,178.8,7.9,30.0,210.0,19.6
CVD,67.9944,950.0,60.0,Si (100) wafer,Unknown,42.8,57.220000000000006,30.0,50.0,25.0
CVD,40.26328329999999,915.0,60.0,Si (100) wafer,1,10.0,180.0,30.0,94.0,7.808000000000002
CVD,53.3488005552,910.0,130.0,Ge (110) wafer,1,30.0,0.5,30.0,200.0,7.808000000000002
CVD,133.322,915.0,120.0,H-terminated Ge (110) film,1,139.6,52.32000000000001,30.0,112.0,19.6
CVD,1013.25,950.0,90.0,Al2O3 (0001),1,50.0,30.0,30.0,270.0,7.808
CVD,25.06461,1200.0,30.0,H2-etched Al2O3 (0001),1,100.0,5.0,30.0,1000.0,14.703999999999999
CVD,9.99918,1200.0,360.0,Exfoliated h-BN,1,5.0,5.0,30.0,310.0,7.7490000000000006
CVD,0.0506625,1250.0,22.5,Exfoliated h-BN,1,88.0,22.6,30.0,390.0,19.6
CVD,0.07999342,950.0,32.6,Thin layer graphite on Ni,1,47.8,38.4,30.0,122.0,19.6
CVD,1013.25,1000.0,20.4,Graphene formation on polycrystalline Ni,3.5,137.0,226.0,30.0,280.0,19.6
CVD,405.495983876,1000.0,40.4,Graphene growth over e-beam evaporated Ni,1,65.0,550.0,30.0,200.0,13.645
CVD,449.84888,950.0,39.5,Graphene formation on polycrystalline Ni by wet-etching,,613.6,18.8,30.0,194.0,19.6
CVD,0.05332895,1000.0,47.0,Gram-scale graphene using MgO catalyst,5,155.07999999999998,130.28,30.0,204.0,19.6
CVD,0.3599704,1000.0,41.0,Catalytic graphene deposition on Cu,2,137.0,132.0,30.0,204.0,19.6
Roll-to-roll CVD,0.1199901,1000.0,41.0,Flexible polymer,,137.0,132.0,30.0,204.0,19.6
