CVD Method,Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2
CVD,950.0,800.0,75.0,Cu film,ML,15.3,23.7,30.25,85.3,10.3
APCVD,890.0,300.0,45.0,Cu foil,1,12.35,8.7,30.5,85.7,10.5
LPCVD,950.0,750.0,45.0,Cu foil,ML,350.2,7.3,30.5,35.4,10.7
LPCVD,850.0,265.0,45.0,Cu foil,ML,85.0,4.3,30.5,45.7,10.5
LPCVD,800.0,525.0,45.0,AuNi film,ML,37.2,4.7,30.5,78.4,10.5
LPCVD,850.0,347.5,45.0,MgO,ML,57.3,15.7,30.2,1200.0,10.5
PECVD,850.0,600.0,45.0,Cu foil,1,12.7,3.2,30.5,7.3,10.5
ICP-CVD,850.3,675.0,45.0,"CuNi, AuNi film",ML,75.3,12.5,30.12,85.3,10.5
ICP-CVD,950.0,300.0,45.0,Cu film,ML,75.3,7.2,29.5,3.5,10.5
PECVD,850.0,525.0,85.0,"Sapphire, SiO2, HOPG",1,75.3,12.3,30.5,85.4,10.5
PECVD,850.0,542.5,45.0,"Sapphire, SiO2, HOPG, h-BN",1,45.2,12.3,30.5,4.5,12.5
MPCVD,970.0,600.0,45.0,Ni foil,1,35.2,12.3,30.5,3.5,10.3
SW-MPCVD,725.3,280.0,45.0,Cu foil,ML,72.4,24.7,30.5,3.2,10.5
PTCVD,850.0,700.0,82.0,Ni foil,ML,7.5,12.3,30.5,2750.0,12.5
ECR-CVD,980.5,400.0,75.0,Cu interconnects,ML,62.3,15.2,30.5,3.5,15.3
CVD,1013.25,1000.0,20.0,Polycrystalline Ni foils,ML,100.0,15.0,30.5,200.0,10.5
CVD,1013.25,950.0,7.5,Evaporated Ni film on SiO2/Si,ML,1500.0,15.0,30.25,600.0,10.5
CVD,1013.25,800.0,8.0,Evaporated Ni film on SiO2/Si,2.5,600.0,100.0,29.5,12.34,10.45
CVD,1013.25,1000.0,7.0,Evaporated Ni film on SiO2/Si,ML,65.0,550.0,30.5,200.0,10.5
CVD,0.00202,1100.0,50.0,Polycrystalline Ni films on SiO2/Si,ML,0.05,0.15,30.5,4.3,10.45
CVD,0.666612,1000.0,45.0,Cu,1,2.0,35.0,30.5,3.5,10.5
CVD,0.133322,1035.0,75.0,Cu,1,0.25,0.15,30.5,1.5,10.5
CVD,750.0,900.0,45.0,Ni (1 1 1),1,600.0,80.0,30.5,5.2,10.5
CVD,0.001333224,575.0,45.0,Ni (1 1 1),1,0.5,0.15,30.12,2.5,10.5
CVD,850.0,1050.0,82.5,Pt (1 1 1),1,794.0,6.0,30.5,65.3,10.2
CVD,850.3,1040.0,45.0,Pt (1 1 1),1,700.0,4.0,30.4,52.3,10.2
CVD,850.3,915.0,83.4,Ge (semi-metal),1,50.0,0.1,30.5,4.5,10.5
CVD,133.322,915.0,85.0,Ge (1 1 0) (semi-metal),1,12.3,15.3,30.5,8.5,10.5
CVD,5e-10,847.0,45.0,Ir (1 1 1),1,0.1,0.15,30.12,2.5,10.3
CVD,1e-10,1077.0,45.0,Ru (0 0 0 1),1,0.5,0.15,30.15,3.5,10.5
CVD,850.0,800.0,45.3,Co (0 0 0 1) on SiO2/Si,1,87.3,23.4,30.5,1370.0,10.5
CVD,5.5e-06,900.0,42.0,Cu-Ni alloy (5.5% Ni),1,0.23,0.07,30.25,1.98,10.4
CVD,0.666612,1000.0,42.0,Cu (25 ?m),2,100.0,70.0,30.12,1.315,10.5
CVD,0.9999178,1050.0,62.3,Cu (25 ?m),2,0.5,0.25,30.5,4.7,10.5
CVD,890.5,1050.0,85.0,Cu (107 ?m) Enclosure,2,50.0,1.5,30.5,5.3,10.5
CVD,0.75327138,1030.0,5.0,Cu (25 ?m) Enclosure,2,50.0,1.0,30.12,15.34,10.75
CVD,0.49995888,1000.0,45.0,Cu (25 ?m) Enclosure,2,0.25,0.045,30.15,3.5,10.45
CVD,0.933257,1000.0,45.0,Monolayer graphene covered Cu (25 ?m),2,2.0,35.0,30.5,3.5,10.3
CVD,0.1999836,1030.0,52.3,Cu (25 ?m),2,10.0,0.1,30.5,7.3,10.5
CVD,4.999589,1070.0,42.7,Cu (25 ?m),2,200.0,100.0,30.12,50.0,10.2
Cold-Wall,850.2,1000.0,45.0,Cu-Ni alloy (30-70),2,85.3,12.3,30.15,87.3,10.5
CVD,5.5e-06,900.0,32.0,Cu-Ni alloy (10.4% Ni),2,0.1,0.02,29.7,4.5,10.5
CVD,0.1466546,1050.0,28.0,Cu-Ni alloy (90-10),2,2.0,3.0,30.5,1.5,10.23
CVD,0.099991776,920.0,35.0,Cu-Ni alloy (1200/400 nm),2,5.0,8.0,30.15,5.2,10.5
CVD,860.0,987.5,45.0,Ru (0001),1,45.2,45.3,30.4,3.2,10.3
CVD,3e-06,1147.0,2.5,Ru (0001),2,0.12,0.02,30.12,0.02,10.3
CVD,1e-07,840.0,21.3,Ir (111),1,0.8,0.15,30.5,1.5,10.5
CVD,14.93211,1000.0,30.0,Ir (111) film (300 nm),1,20.0,2.0,30.5,3.14,10.54
CVD,749.93832,1080.0,30.0,Pt (111) film (500 nm),1,850.0,6.0,30.5,3.5,10.5
CVD,850.0,1000.0,20.0,Co (0001) film (200 nm),1,500.0,5.0,30.5,2.5,10.5
CVD,1e-12,850.0,45.0,Ni (111) (carbon-doped),1,0.5,4.2,30.5,4.5,10.3
CVD,1e-06,640.0,5.0,Ni (111) film (150 nm),1,0.5,0.07,30.12,3.2,10.3
CVD,1.33e-06,400.0,45.0,Ni (111),1,0.23,0.15,30.14,0.56,10.3
CVD,1013.25,965.0,75.0,Cu (111) film (500 nm),1,15.3,3.5,30.5,343.67,10.5
CVD,1013.25,1075.0,60.0,Cu (111) foil,1,50.0,3.0,30.5,1000.0,10.5
CVD,850.0,1030.0,20.0,Cu (111) foil,1,10.0,1.0,30.5,500.0,10.5
CVD,39.9967,1060.0,60.0,Cu (111) foil,1,30.0,30.0,30.5,2.7,10.3
CVD,1013.25,750.0,60.0,Cu/Ni (111) film (600 nm),1,10.0,50.0,30.5,300.0,10.3
CVD,1013.25,1000.0,10.0,Cu/Ni (111) film (500 nm),1,10.0,10.0,30.5,500.0,10.5
CVD,1013.25,1085.0,600.0,"Cu/Ni (111) film (500 nm, 23 at% Ni)",2,45.3,7.34,30.12,2500.0,10.5
CVD,1013.25,1075.0,5.0,Cu/Ni (111) foil (1.3 to 8.6 at% Ni),1,50.0,5.0,30.5,1000.0,10.3
CVD,53.3289,1075.0,10.0,Cu/Ni (111) foil (16.6 or 20.3 at% Ni),2,10.0,1.0,30.5,200.0,10.5
CVD,53.3289,1075.0,45.0,Cu/Ni (111) foil (23â28 at% Ni),ML,35.7,12.34,30.12,2.3,10.5
CVD,67.9944,950.0,60.0,Si (100) wafer,Unknown,0.5,4.3,30.5,50.0,25.0
CVD,920.0,915.0,60.0,Si (100) wafer,1,10.0,180.0,30.5,2.5,10.5
CVD,850.0,910.0,130.0,Ge (110) wafer,1,30.0,0.5,30.5,200.0,10.5
CVD,133.322,915.0,120.0,H-terminated Ge (110) film,1,0.5,0.45,30.5,4.23,10.5
CVD,1013.25,950.0,90.0,Al2O3 (0001),1,50.0,30.0,30.25,47.3,10.5
CVD,25.06461,1200.0,30.0,H2-etched Al2O3 (0001),1,100.0,5.0,30.5,1000.0,10.5
CVD,9.99918,1200.0,360.0,Exfoliated h-BN,1,5.0,5.0,30.5,7.2,10.3
CVD,0.0506625,1250.0,22.5,Exfoliated h-BN,1,0.75,0.031,30.12,1.5,10.3
CVD,0.07999342,950.0,42.3,Thin layer graphite on Ni,1,0.75,0.75,30.45,0.15,10.23
CVD,1013.25,1000.0,45.0,Graphene formation on polycrystalline Ni,3.5,5.26,0.25,30.5,3.5,10.5
CVD,850.0,1000.0,47.0,Graphene growth over e-beam evaporated Ni,1,65.0,550.0,30.5,200.0,10.3
CVD,450.0,950.0,45.0,Graphene formation on polycrystalline Ni by wet-etching,,85.3,15.3,30.5,45.0,10.5
CVD,0.05332895,1000.0,45.0,Gram-scale graphene using MgO catalyst,5,0.25,0.032,30.12,4.2,10.12
CVD,0.3599704,1000.0,85.0,Catalytic graphene deposition on Cu,2,0.5,0.12,30.25,3.456,10.5
Roll-to-roll CVD,0.1199901,1000.0,42.0,Flexible polymer,,0.25,0.032,30.5,0.5,10.25
