CVD Method,Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2,No. of Graphene Layers_orig
ICP-CVD,0.3169349301862577,300.0,77.03501,Cu film,1.0,62.9,34.35,30.0,849.0,2.0662499999999993,ML
PECVD,47.741933518384556,525.0,118.853,"Sapphire, SiO2, HOPG",0.0,58.3,32.766,30.0,880.5,1.6647999999999994,1
PECVD,47.74747308916457,542.5,118.803,"Sapphire, SiO2, HOPG, h-BN",0.0,58.3,32.766,30.0,880.5,1.6647999999999994,1
MPCVD,47.74723333884458,600.0,118.803,Ni foil,0.0,58.3,32.766,30.0,880.5,1.6647999999999994,1
SW-MPCVD,0.3169349301862577,280.0,77.03501,Cu foil,1.0,62.9,34.35,30.0,849.0,2.0662499999999993,ML
PTCVD,10.587793202742544,700.0,50.04267,Ni foil,1.0,64.725,30.9625,30.0,896.5,4.158450000000002,ML
ECR-CVD,0.3196013801862577,400.0,77.30667,Cu interconnects,1.0,62.9,34.35,30.0,849.0,2.0662499999999993,ML
CVD,1013.25,1000.0,20.0,Polycrystalline Ni foils,1.0,100.0,15.0,30.0,200.0,11.443299999999999,ML
CVD,1013.25,950.0,7.5,Evaporated Ni film on SiO2/Si,1.0,1500.0,15.0,30.0,600.0,11.560349999999998,ML
CVD,1013.25,800.0,8.0,Evaporated Ni film on SiO2/Si,1.0,600.0,100.0,30.0,286.3,21.52165,2.5
CVD,1013.25,1000.0,7.0,Evaporated Ni film on SiO2/Si,1.0,65.0,550.0,30.0,200.0,16.3237,ML
CVD,0.00202,1100.0,50.0,Polycrystalline Ni films on SiO2/Si,1.0,83.4,27.626749999999998,30.0,756.0,4.092150000000001,ML
CVD,0.666612,1000.0,86.963,Cu,0.0,2.0,35.0,30.0,5650.5,6.909400000000001,1
CVD,0.133322,1035.0,32.957660000000004,Cu,0.0,19.265,7.514750000000004,30.0,148.315,12.30795,1
CVD,820.5734776200002,900.0,99.06291499999999,Ni (1 1 1),0.0,600.0,80.0,30.0,204.7,21.109500000000004,1
CVD,0.001333224,575.0,15.774999999999999,Ni (1 1 1),0.0,60.91,26.840500000000002,30.0,915.0,2.1470500000000006,1
CVD,832.4073424000005,1050.0,64.975,Pt (1 1 1),0.0,794.0,6.0,30.0,230.9,16.373599999999996,1
CVD,830.7820480000004,1040.0,165.66,Pt (1 1 1),0.0,700.0,4.0,30.0,217.5,15.158199999999997,1
CVD,572.907744270002,915.0,75.92583,Ge (semi-metal),0.0,50.0,0.1,30.0,256.3,11.477349999999996,1
CVD,133.322,915.0,29.6105,Ge (1 1 0) (semi-metal),0.0,13.91,3.6137500000000005,30.0,165.815,13.382750000000001,1
CVD,5e-10,847.0,37.128415000000004,Ir (1 1 1),0.0,56.65,29.0275,30.0,646.5,4.3862000000000005,1
CVD,1e-10,1077.0,29.720000000000006,Ru (0 0 0 1),0.0,49.97,13.066500000000001,30.0,803.5,6.053599999999998,1
CVD,38.58064764399011,800.0,22.762914999999992,Co (0 0 0 1) on SiO2/Si,0.0,52.4,10.651750000000002,30.0,725.5,6.52755,1
CVD,5.5e-06,900.0,29.208830000000006,Cu-Ni alloy (5.5% Ni),0.0,56.51,29.0845,30.0,650.5,4.242450000000001,1
CVD,0.666612,1000.0,30.646245,Cu (25 ?m),1.0,100.0,70.0,30.0,95.3,21.908799999999996,2
CVD,0.9999178,1050.0,27.789564999999993,Cu (25 ?m),1.0,19.44,1.4472499999999997,30.0,135.73,13.18715,2
CVD,465.6360289719112,1050.0,41.34833,Cu (107 ?m) Enclosure,1.0,50.0,1.5,30.0,279.5,11.461749999999997,2
CVD,0.75327138,1030.0,5.0,Cu (25 ?m) Enclosure,1.0,50.0,1.0,30.0,83.96,16.15685,2
CVD,0.49995888,1000.0,24.387915000000003,Cu (25 ?m) Enclosure,1.0,20.84,1.7564999999999995,30.0,127.93,12.192350000000001,2
CVD,0.933257,1000.0,80.93,Monolayer graphene covered Cu (25 ?m),1.0,2.0,35.0,30.0,5651.5,6.82185,2
CVD,0.1999836,1030.0,43.270003333333335,Cu (25 ?m),1.0,10.0,0.1,30.0,148.03,12.192350000000001,2
CVD,4.999589,1070.0,26.930415000000004,Cu (25 ?m),1.0,200.0,100.0,30.0,50.0,26.282249999999998,2
Cold-Wall,407.4089316440001,1000.0,38.195,Cu-Ni alloy (30-70),1.0,23.17,6.3277500000000035,30.0,202.7,13.26715,2
CVD,5.5e-06,900.0,23.504414999999998,Cu-Ni alloy (10.4% Ni),1.0,59.48,29.3065,30.0,652.5,4.15195,2
CVD,0.1466546,1050.0,53.3375,Cu-Ni alloy (90-10),1.0,2.0,3.0,30.0,5675.5,7.461550000000001,2
CVD,0.099991776,920.0,36.0975,Cu-Ni alloy (1200/400 nm),1.0,5.0,8.0,30.0,2479.0,7.461550000000001,2
CVD,569.2125551742001,987.5,39.13917,Ru (0001),0.0,28.83,7.544750000000002,30.0,226.5,13.382750000000001,1
CVD,3e-06,1147.0,2.5,Ru (0001),1.0,98.44,37.5375,30.0,837.0,4.300549999999999,2
CVD,1e-07,840.0,21.3,Ir (111),0.0,63.4,20.518999999999995,30.0,675.0,4.3862000000000005,1
CVD,14.93211,1000.0,30.0,Ir (111) film (300 nm),0.0,20.0,2.0,30.0,139.9,13.302750000000001,1
CVD,749.93832,1080.0,30.0,Pt (111) film (500 nm),0.0,850.0,6.0,30.0,258.2,16.473599999999998,1
CVD,832.3558603100005,1000.0,20.0,Co (0001) film (200 nm),0.0,500.0,5.0,30.0,206.3,16.473599999999998,1
CVD,1e-12,850.0,37.128415000000004,Ni (111) (carbon-doped),0.0,56.65,29.0275,30.0,646.5,4.3862000000000005,1
CVD,1e-06,640.0,5.0,Ni (111) film (150 nm),0.0,75.16,32.525,30.0,965.5,2.400150000000001,1
CVD,1.33e-06,400.0,16.485,Ni (111),0.0,61.56,26.854499999999998,30.0,915.0,2.4208000000000016,1
CVD,1013.25,965.0,75.0,Cu (111) film (500 nm),0.0,589.18,108.852,30.0,273.7,21.21685,1
CVD,1013.25,1075.0,60.0,Cu (111) foil,0.0,50.0,3.0,30.0,1000.0,6.77245,1
CVD,512.1535621195021,1030.0,20.0,Cu (111) foil,0.0,10.0,1.0,30.0,500.0,8.6107,1
CVD,39.9967,1060.0,60.0,Cu (111) foil,0.0,30.0,30.0,30.0,166.8,11.7254,1
CVD,1013.25,750.0,60.0,Cu/Ni (111) film (600 nm),0.0,10.0,50.0,30.0,300.0,11.447449999999998,1
CVD,1013.25,1000.0,10.0,Cu/Ni (111) film (500 nm),0.0,10.0,10.0,30.0,500.0,8.6107,1
CVD,1013.25,1085.0,600.0,"Cu/Ni (111) film (500 nm, 23 at% Ni)",1.0,563.045,5.59125,30.0,291.2,15.031899999999998,2
CVD,1013.25,1075.0,5.0,Cu/Ni (111) foil (1.3 to 8.6 at% Ni),0.0,50.0,5.0,30.0,1000.0,6.77245,1
CVD,53.3289,1075.0,10.0,Cu/Ni (111) foil (16.6 or 20.3 at% Ni),1.0,10.0,1.0,30.0,200.0,13.26715,2
CVD,53.3289,1075.0,23.550833333333333,Cu/Ni (111) foil (23â28 at% Ni),1.0,18.16,2.274999999999999,30.0,174.5,13.26715,ML
CVD,67.9944,950.0,60.0,Si (100) wafer,0.7,173.9,85.0,30.0,50.0,25.0,Unknown
CVD,601.8970403042,915.0,60.0,Si (100) wafer,0.0,10.0,180.0,30.0,210.8,17.5398,1
CVD,496.7634670469321,910.0,130.0,Ge (110) wafer,0.0,30.0,0.5,30.0,200.0,11.9448,1
CVD,133.322,915.0,120.0,H-terminated Ge (110) film,0.0,56.31,33.63,30.0,618.0,3.8170000000000006,1
CVD,1013.25,950.0,90.0,Al2O3 (0001),0.0,50.0,30.0,30.0,638.0,5.19885,1
CVD,25.06461,1200.0,30.0,H2-etched Al2O3 (0001),0.0,100.0,5.0,30.0,1000.0,6.742200000000001,1
CVD,9.99918,1200.0,360.0,Exfoliated h-BN,0.0,5.0,5.0,30.0,2563.0,7.210750000000001,1
CVD,0.0506625,1250.0,22.5,Exfoliated h-BN,0.0,66.0,14.783999999999999,30.0,822.5,5.724150000000002,1
CVD,0.07999342,950.0,81.058,Thin layer graphite on Ni,0.0,54.05,36.1275,30.0,578.0,4.090750000000002,1
CVD,1013.25,1000.0,59.015,Graphene formation on polycrystalline Ni,1.0,496.24,102.052,30.0,276.2,21.0994,3.5
CVD,762.4680467570012,1000.0,33.265,Graphene growth over e-beam evaporated Ni,0.0,65.0,550.0,30.0,200.0,16.441149999999997,1
CVD,545.0552822792022,950.0,39.25167,Graphene formation on polycrystalline Ni by wet-etching,0.22,26.33,6.653500000000004,30.0,220.4,13.382750000000001,
CVD,0.05332895,1000.0,77.815,Gram-scale graphene using MgO catalyst,1.0,57.1,37.481,30.0,584.5,4.055250000000001,5
CVD,0.3599704,1000.0,24.4875,Catalytic graphene deposition on Cu,1.0,20.32,2.021749999999999,30.0,126.945,12.192350000000001,2
Roll-to-roll CVD,0.1199901,1000.0,25.60583,Flexible polymer,0.87,19.6,1.965999999999999,30.0,134.545,12.192350000000001,
