CVD Method,Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2
Cold-Wall,7.0,1450.0,30.0,Cu,1,50.0,0.25,65.0,500.0,0.0
Cold-Wall,93.0,680.0,30.0,Cu,1,0.7,280.0,0.5,10000.0,0.3
MW-PECVD,0.666612,420.0,12.5,Cu,1,0.75,0.25,1.25,2.0,1.0
MW-PECVD,10.5,775.0,60.0,Co,ML,50.0,15.0,30.0,100.0,15.0
MW-PECVD,1e-06,725.0,45.0,Al2O3,1,300.0,150.0,120.0,240.0,30.0
MW-PECVD,1e-06,725.0,15.0,SiO2,ML,300.0,0.0,100.0,150.0,30.0
MW-PECVD,17.5,850.0,1.0,Co-Cu,ML,50.0,50.0,15.0,35.0,5.0
MW-PECVD,30.0,900.0,37.5,"Si(100), SiO2",ML,140.0,60.0,50.0,70.0,15.0
MW-PECVD,0.033330592,425.0,10.0,Cu,1,8.0,0.5,6.0,2.0,5.0
MW-PECVD,0.033330592,400.0,10.0,Cu,2,3.5,0.5,0.5,1.0,0.2
ECR-PECVD,0.054,650.0,450.0,quartz and silica,1,55.0,0.015,25.0,15.0,0.225
ECR-PECVD,1.33e-06,,5.0,Cu,,200.0,100.0,20.0,2.0,0.0
ECR-PECVD,1e-06,600.0,150.0,Si,1,50.0,0.0,30.0,23.0,0.52
ECR-PECVD,1e-06,600.0,150.0,SiO2,ML,50.0,5.0,10.0,40.0,0.52
RF-PECVD,3.46638,550.0,20.0,"Glass, Si/SiO2 wafers, Cu",ML,20.0,3.0,15.0,20.0,12.0
RF-PECVD,0.5999507,725.0,17.5,SiO2/Si,ML,20.0,2.0,10.0,100.0,12.5
RF-PECVD,0.01,600.0,15.0,Cu,ML,2.0,10.0,5.0,10.0,2.0
RF-PECVD,1.179903,875.0,75.0,quartz,ML,10.0,0.1,25.0,50.0,15.0
RF-PECVD,0.533289,625.0,90.0,Ge,1,60.0,40.0,50.0,400.0,25.0
RF-PECVD,0.005466217,800.0,20.0,"Si plane, textured Si wafers",ML,0.5,0.6,0.2,0.3,0.1
HF-PECVD,300.0,1600.0,5.0,Ni,ML,15.0,3.0,50.0,25.0,30.0
HF-PECVD,6e-06,850.0,9.0,glass,ML,50.0,5.0,12.0,20.0,1.0
ICP-PECVD,0.266645,300.0,0.167,Cu/SiO2/Si,2,10.0,0.0,12.5,21.5,5.0
ICP-PECVD,1.33322,850.0,30.0415,Cu,1,100.0,1.0,50.0,100.0,25.0
ICP-PECVD,1.33322,850.0,30.0415,Fe2O3 film,ML,100.0,1.0,50.0,100.0,25.0
ICP-PECVD,0.0115,425.0,15.5,Cu,ML,0.025,0.015,0.1,0.075,0.015
ICP-PECVD,0.896592927,850.0,2.5415,Cu,1,12.5,5.0,25.0,50.0,15.0
ICP-PECVD,100.0,850.0,1.0,Cu,1,5.0,5.0,10.0,180.0,15.0
General,5.5e-06,900.0,30.0,Polycrystalline Cu/Ni film,3.5,0.045,0.022,0.03,0.012,0.015
CVD,200.0,1075.0,30.0,Single-crystal Cu/Ni(111) film (500 nm),2,0.5,0.02,0.8,2.0,0.3
CVD,53.3289,1075.0,5.0,Large-area single-crystal Cu/Ni(111) foil,2,10.0,1.0,0.5,200.0,0.1
CVD,0.0533289,1000.0,120.0,Cu foil (200/0-300 nm),5.5,0.5,50.0,0.3,0.2,0.1
CVD,500.0,1000.0,45.0,P/Cu foil,5,10.0,45.0,15.0,5.0,12.0
CVD,0.2,1085.0,10.0,Cu/Ni(111) film (385/115 nm),2,0.5,0.3,0.8,1.2,0.3
CVD,0.2,1085.0,600.0,Cu/Ni(111) film (385/115 nm),2,0.5,0.15,0.8,0.3,0.2
CVD,7e-06,820.0,45.0,Ni(111) film (500 nm),2,0.5,0.3,0.3,0.2,0.1
CVD,7e-06,785.0,45.0,Ni(111) film (500 nm),2,0.5,0.15,0.3,0.2,0.1
CVD,0.133322,1000.0,10.0,Cu foil,2,10.0,30.0,15.0,5.0,30.0
CVD,0.133322,1000.0,10.0,Cu,2,100.0,30.0,50.0,250.0,15.0
CVD,200.0,,30.0,Cu,1.5,0.1,400.0,0.5,1.5,0.3
CVD,26.6645,1050.0,30.0,Cu (111) foil(0.02mm),1.5,250.0,20.0,150.0,100.0,50.0
LPCVD,450.0,650.0,30.0,Fe Film,ML,50.0,0.0,30.0,20.0,25.0
LPCVD,600.0,750.0,15.0,Ni foil,ML,5.0,0.5,10.0,15.0,3.0
UHVCVD,24.0,550.0,25.0,Ni,1,15.0,15.0,20.0,25.0,5.0
LPCVD,200.0,750.0,15.0,Cu foil,1,40.0,0.0,20.0,30.0,10.0
LPCVD,300.0,650.0,30.0,Cu foil,1,10.0,5.0,15.0,15.0,5.0
LPCVD,600.0,400.0,25.0,Cu foil,ML,25.0,10.0,40.0,15.0,20.0
LPCVD,500.0,490.0,45.0,"Stainless steel, Cu, Ni, CuNi",ML,8.0,0.5,12.0,15.0,5.0
LPCVD,350.0,300.0,30.0,Cu foil,1,2.5,0.5,5.0,5.0,1.0
APCVD,760.0,200.0,30.0,Cu foil,1,10.0,25.0,15.0,13.0,5.0
LPCVD,200.0,450.0,25.0,Cu foil,1,5.0,0.5,10.0,15.0,7.5
APCVD,100.0,450.0,30.0,Cu foil,1,5.0,0.5,20.0,10.0,15.0
LPCVD,600.0,500.0,30.0,Cu foil,1,10.0,0.0,20.0,15.0,25.0
CVD,400.0,800.0,30.0,Cu film,ML,5.0,0.5,10.0,20.0,8.0
APCVD,25.0,300.0,45.0,Cu foil,1,25.0,0.5,18.0,,15.0
LPCVD,100.0,750.0,30.0,Cu foil,ML,50.0,15.0,20.0,45.0,10.0
LPCVD,300.0,265.0,25.0,Cu foil,ML,15.0,0.5,30.0,40.0,5.0
LPCVD,300.0,525.0,30.0,AuNi film,ML,5.0,0.0,10.0,15.0,2.0
LPCVD,450.0,347.5,30.0,MgO,ML,12.0,1.0,5.0,7.0,3.0
PECVD,500.0,600.0,30.0,Cu foil,1,10.0,5.0,15.0,20.0,5.0
ICP-CVD,200.0,675.0,15.0,"CuNi, AuNi film",ML,20.0,15.0,12.5,25.0,5.0
ICP-CVD,150.0,300.0,15.0,Cu film,ML,5.0,15.0,20.0,10.0,15.0
PECVD,28.5,525.0,30.0,"Sapphire, SiO2, HOPG",1,20.0,0.5,35.0,15.0,12.0
PECVD,34.5,542.5,25.0,"Sapphire, SiO2, HOPG, h-BN",1,8.5,0.5,22.0,15.0,12.0
MPCVD,20.0,600.0,15.0,Ni foil,1,24.0,6.0,12.0,12.0,8.0
SW-MPCVD,600.0,280.0,45.0,Cu foil,ML,20.0,10.0,20.0,40.0,15.0
PTCVD,350.0,700.0,45.0,Ni foil,ML,20.0,5.0,20.0,40.0,15.0
ECR-CVD,65.0,400.0,30.0,Cu interconnects,ML,10.0,15.0,30.0,20.0,15.0
CVD,1013.25,1000.0,20.0,Polycrystalline Ni foils,ML,100.0,15.0,50.0,200.0,10.0
CVD,1013.25,950.0,7.5,Evaporated Ni film on SiO2/Si,ML,1500.0,15.0,50.0,600.0,100.0
CVD,1013.25,800.0,8.0,Evaporated Ni film on SiO2/Si,2.5,600.0,100.0,250.0,200.0,150.0
CVD,1013.25,1000.0,7.0,Evaporated Ni film on SiO2/Si,ML,65.0,550.0,30.0,200.0,5.0
CVD,0.00202,1100.0,50.0,Polycrystalline Ni films on SiO2/Si,ML,0.005,0.0015,0.01,0.015,0.0045
CVD,0.666612,1000.0,45.0,Cu,1,2.0,35.0,4.0,8.0,1.0
CVD,0.133322,1035.0,65.0,Cu,1,0.25,0.15,0.75,0.6,0.15
CVD,100.0,900.0,15.0,Ni (1 1 1),1,600.0,80.0,250.0,150.0,100.0
CVD,0.001333224,575.0,30.0,Ni (1 1 1),1,0.2,0.05,0.1,0.5,0.03
CVD,120.0,1050.0,45.0,Pt (1 1 1),1,794.0,6.0,40.0,350.0,25.0
CVD,185.0,1040.0,45.0,Pt (1 1 1),1,700.0,4.0,300.0,1000.0,150.0
CVD,500.0,915.0,25.0,Ge (semi-metal),1,50.0,0.1,65.0,,30.0
CVD,133.322,915.0,42.0,Ge (1 1 0) (semi-metal),1,0.5,0.1,0.2,0.3,0.1
CVD,5e-10,847.0,45.0,Ir (1 1 1),1,0.5,0.2,0.3,0.2,0.1
CVD,1e-10,1077.0,15.0,Ru (0 0 0 1),1,0.5,0.1,0.3,0.2,0.1
CVD,50.0,800.0,30.0,Co (0 0 0 1) on SiO2/Si,1,5.0,0.5,10.0,18.0,3.0
CVD,5.5e-06,900.0,30.0,Cu-Ni alloy (5.5% Ni),1,0.0025,0.001,0.0035,0.001,0.0015
CVD,0.666612,1000.0,30.0,Cu (25 ?m),2,100.0,70.0,100.0,150.0,50.0
CVD,0.9999178,1050.0,45.0,Cu (25 ?m),2,0.5,0.1,1.0,0.3,0.2
CVD,120.0,1050.0,45.0,Cu (107 ?m) Enclosure,2,50.0,1.5,25.0,15.0,30.0
CVD,0.75327138,1030.0,5.0,Cu (25 ?m) Enclosure,2,50.0,1.0,45.0,12.0,9.0
CVD,0.49995888,1000.0,45.0,Cu (25 ?m) Enclosure,2,0.5,0.3,0.2,0.3,0.1
CVD,0.933257,1000.0,45.0,Monolayer graphene covered Cu (25 ?m),2,2.0,35.0,0.5,1.5,0.2
CVD,0.1999836,1030.0,45.0,Cu (25 ?m),2,10.0,0.1,5.0,12.0,0.5
CVD,4.999589,1070.0,30.0,Cu (25 ?m),2,200.0,100.0,143.0,50.0,25.0
Cold-Wall,115.0,1000.0,45.0,Cu-Ni alloy (30-70),2,0.5,0.1,2.0,1.0,1.0
CVD,5.5e-06,900.0,45.0,Cu-Ni alloy (10.4% Ni),2,0.015,0.005,0.02,0.005,0.01
CVD,0.1466546,1050.0,45.0,Cu-Ni alloy (90-10),2,2.0,3.0,1.5,3.0,0.5
CVD,0.099991776,920.0,45.0,Cu-Ni alloy (1200/400 nm),2,5.0,8.0,0.5,0.5,0.04
CVD,26.5,987.5,30.0,Ru (0001),1,15.0,6.0,12.5,45.0,7.5
CVD,3e-06,1147.0,2.5,Ru (0001),2,0.5,0.3,0.3,1.2,0.2
CVD,1e-07,840.0,21.3,Ir (111),1,3.5,0.5,0.15,4.0,0.02
CVD,14.93211,1000.0,30.0,Ir (111) film (300 nm),1,20.0,2.0,16.0,,5.0
CVD,749.93832,1080.0,30.0,Pt (111) film (500 nm),1,850.0,6.0,120.0,120.0,0.0
CVD,780.0,1000.0,20.0,Co (0001) film (200 nm),1,500.0,5.0,150.0,,80.0
CVD,1e-12,850.0,60.0,Ni (111) (carbon-doped),1,0.5,0.3,0.3,2.0,0.2
CVD,1e-06,640.0,5.0,Ni (111) film (150 nm),1,0.5,0.2,1.2,0.3,0.5
CVD,1.33e-06,400.0,15.0,Ni (111),1,0.5,0.1,0.3,0.2,0.1
CVD,1013.25,965.0,75.0,Cu (111) film (500 nm),1,12.0,0.5,25.0,28.0,5.0
CVD,1013.25,1075.0,60.0,Cu (111) foil,1,50.0,3.0,200.0,1000.0,80.0
CVD,650.0,1030.0,20.0,Cu (111) foil,1,10.0,1.0,5.0,500.0,2.0
CVD,39.9967,1060.0,60.0,Cu (111) foil,1,30.0,30.0,15.0,20.0,5.0
CVD,1013.25,750.0,60.0,Cu/Ni (111) film (600 nm),1,10.0,50.0,50.0,300.0,20.0
CVD,1013.25,1000.0,10.0,Cu/Ni (111) film (500 nm),1,10.0,10.0,5.0,500.0,0.2
CVD,1013.25,1085.0,600.0,"Cu/Ni (111) film (500 nm, 23 at% Ni)",2,15.0,0.0,32.0,25.0,4.0
CVD,1013.25,1075.0,5.0,Cu/Ni (111) foil (1.3 to 8.6 at% Ni),1,50.0,5.0,85.0,1000.0,24.0
CVD,53.3289,1075.0,10.0,Cu/Ni (111) foil (16.6 or 20.3 at% Ni),2,10.0,1.0,7.5,200.0,0.5
CVD,53.3289,1075.0,45.0,Cu/Ni (111) foil (23â28 at% Ni),ML,0.5,0.15,0.2,0.3,0.1
CVD,67.9944,950.0,60.0,Si (100) wafer,Unknown,40.0,5.0,25.0,50.0,25.0
CVD,55.0,915.0,60.0,Si (100) wafer,1,10.0,180.0,22.0,,12.0
CVD,50.0,910.0,130.0,Ge (110) wafer,1,30.0,0.5,50.0,200.0,15.0
CVD,133.322,915.0,120.0,H-terminated Ge (110) film,1,5.0,0.5,12.0,8.0,3.0
CVD,1013.25,950.0,90.0,Al2O3 (0001),1,50.0,30.0,65.0,,9.0
CVD,25.06461,1200.0,30.0,H2-etched Al2O3 (0001),1,100.0,5.0,20.0,1000.0,0.0
CVD,9.99918,1200.0,360.0,Exfoliated h-BN,1,5.0,5.0,7.5,,2.5
CVD,0.0506625,1250.0,22.5,Exfoliated h-BN,1,0.032,0.025,0.02,0.015,0.004
CVD,0.07999342,950.0,45.0,Thin layer graphite on Ni,1,0.25,0.15,0.15,0.4,0.05
CVD,1013.25,1000.0,45.0,Graphene formation on polycrystalline Ni,3.5,12.0,2.0,15.0,20.0,3.0
CVD,20.0,1000.0,25.0,Graphene growth over e-beam evaporated Ni,1,65.0,550.0,50.0,200.0,30.0
CVD,200.0,950.0,45.0,Graphene formation on polycrystalline Ni by wet-etching,,12.0,5.0,16.0,12.0,7.0
CVD,0.05332895,1000.0,15.0,Gram-scale graphene using MgO catalyst,5,0.039,0.012,0.022,0.015,0.01
CVD,0.3599704,1000.0,45.0,Catalytic graphene deposition on Cu,2,0.25,0.15,0.1,0.15,0.05
Roll-to-roll CVD,0.1199901,1000.0,45.0,Flexible polymer,,0.5,0.25,0.3,0.2,0.1
