CVD Method,Pressure (mbar),Temperature (°C),Growth Time (min),Substrate,No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2
LPCVD,1013.25,525.0,30.0,AuNi film,ML,50.0,10.0,30.0,100.0,25.0
LPCVD,1013.25,347.5,30.0,MgO,ML,50.0,2.0,30.0,100.0,25.0
PECVD,1000.0,600.0,30.0,Cu foil,1,50.0,2.0,30.0,100.0,12.0
ICP-CVD,1013.25,675.0,30.0,"CuNi, AuNi film",ML,50.0,5.0,30.0,100.0,12.0
ICP-CVD,1013.25,300.0,30.0,Cu film,ML,50.0,10.0,30.0,200.0,25.0
PECVD,1013.25,525.0,30.0,"Sapphire, SiO2, HOPG",1,100.0,10.0,30.0,100.0,12.0
PECVD,1013.25,542.5,30.0,"Sapphire, SiO2, HOPG, h-BN",1,100.0,12.5,30.0,200.0,12.0
MPCVD,1013.25,600.0,30.0,Ni foil,1,50.0,12.5,30.0,200.0,15.0
SW-MPCVD,1013.25,280.0,30.0,Cu foil,ML,50.0,5.0,30.0,100.0,12.0
PTCVD,1013.25,700.0,30.0,Ni foil,ML,50.0,12.5,30.0,200.0,12.0
ECR-CVD,800.0,400.0,30.0,Cu interconnects,ML,50.0,2.0,30.0,200.0,12.0
CVD,1013.25,1000.0,20.0,Polycrystalline Ni foils,ML,100.0,15.0,50.0,200.0,25.0
CVD,1013.25,950.0,7.5,Evaporated Ni film on SiO2/Si,ML,1500.0,15.0,90.0,600.0,25.0
CVD,1013.25,800.0,8.0,Evaporated Ni film on SiO2/Si,2.5,600.0,100.0,50.0,200.0,25.0
CVD,1013.25,1000.0,7.0,Evaporated Ni film on SiO2/Si,ML,65.0,550.0,25.0,200.0,12.0
CVD,0.00202,1100.0,50.0,Polycrystalline Ni films on SiO2/Si,ML,100.0,12.5,30.0,50.0,12.0
CVD,0.666612,1000.0,30.0,Cu,1,2.0,35.0,30.0,100.0,15.0
CVD,0.133322,1035.0,30.0,Cu,1,400.0,2.0,30.0,200.0,12.0
CVD,1013.25,900.0,30.0,Ni (1 1 1),1,600.0,80.0,30.0,200.0,0.92
CVD,0.001333224,575.0,30.0,Ni (1 1 1),1,200.0,6.0,30.0,200.0,25.0
CVD,1013.25,1050.0,30.0,Pt (1 1 1),1,794.0,6.0,30.0,200.0,25.0
CVD,1013.25,1040.0,30.0,Pt (1 1 1),1,700.0,4.0,30.0,200.0,25.0
CVD,1013.25,915.0,30.0,Ge (semi-metal),1,50.0,0.1,20.0,100.0,25.0
CVD,133.322,915.0,30.0,Ge (1 1 0) (semi-metal),1,200.0,3.0,30.0,200.0,12.0
CVD,5e-10,847.0,30.0,Ir (1 1 1),1,50.0,12.0,30.0,200.0,12.0
CVD,1e-10,1077.0,30.0,Ru (0 0 0 1),1,50.0,6.0,30.0,200.0,25.0
CVD,1013.25,800.0,30.0,Co (0 0 0 1) on SiO2/Si,1,200.0,3.0,30.0,200.0,25.0
CVD,5.5e-06,900.0,30.0,Cu-Ni alloy (5.5% Ni),1,50.0,3.0,30.0,200.0,12.0
CVD,0.666612,1000.0,60.0,Cu (25 ?m),2,100.0,70.0,50.0,100.0,12.0
CVD,0.9999178,1050.0,30.0,Cu (25 ?m),2,50.0,3.0,30.0,200.0,12.0
CVD,1013.25,1050.0,30.0,Cu (107 ?m) Enclosure,2,50.0,1.5,30.0,100.0,0.5
CVD,0.75327138,1030.0,5.0,Cu (25 ?m) Enclosure,2,50.0,1.0,15.0,200.0,12.0
CVD,0.49995888,1000.0,60.0,Cu (25 ?m) Enclosure,2,200.0,6.0,30.0,200.0,12.0
CVD,0.933257,1000.0,30.0,Monolayer graphene covered Cu (25 ?m),2,2.0,35.0,30.0,400.0,12.0
CVD,0.1999836,1030.0,30.0,Cu (25 ?m),2,10.0,0.1,30.0,100.0,12.0
CVD,4.999589,1070.0,30.0,Cu (25 ?m),2,200.0,100.0,50.0,50.0,25.0
Cold-Wall,1013.25,1000.0,30.0,Cu-Ni alloy (30-70),2,10.0,7.0,30.0,300.0,25.0
CVD,5.5e-06,900.0,30.0,Cu-Ni alloy (10.4% Ni),2,50.0,6.0,30.0,200.0,25.0
CVD,0.1466546,1050.0,30.0,Cu-Ni alloy (90-10),2,2.0,3.0,30.0,300.0,12.0
CVD,0.099991776,920.0,30.0,Cu-Ni alloy (1200/400 nm),2,5.0,8.0,30.0,100.0,30.0
CVD,1013.25,987.5,30.0,Ru (0001),1,100.0,6.0,30.0,100.0,25.0
CVD,3e-06,1147.0,2.5,Ru (0001),2,50.0,2.0,30.0,200.0,12.0
CVD,1e-07,840.0,21.3,Ir (111),1,20.0,12.5,30.0,200.0,25.0
CVD,14.93211,1000.0,30.0,Ir (111) film (300 nm),1,20.0,2.0,15.0,200.0,22.0
CVD,749.93832,1080.0,30.0,Pt (111) film (500 nm),1,850.0,6.0,440.0,200.0,0.225
CVD,1013.25,1000.0,20.0,Co (0001) film (200 nm),1,500.0,5.0,30.0,200.0,25.0
CVD,1e-12,850.0,30.0,Ni (111) (carbon-doped),1,50.0,10.0,30.0,200.0,25.0
CVD,1e-06,640.0,5.0,Ni (111) film (150 nm),1,50.0,12.5,30.0,200.0,25.0
CVD,1.33e-06,400.0,30.0,Ni (111),1,150.0,6.0,30.0,500.0,12.0
CVD,1013.25,965.0,75.0,Cu (111) film (500 nm),1,200.0,35.0,30.0,200.0,25.0
CVD,1013.25,1075.0,60.0,Cu (111) foil,1,50.0,3.0,50.0,1000.0,25.0
CVD,1013.25,1030.0,20.0,Cu (111) foil,1,10.0,1.0,30.0,500.0,12.0
CVD,39.9967,1060.0,60.0,Cu (111) foil,1,30.0,30.0,25.0,150.0,25.0
CVD,1013.25,750.0,60.0,Cu/Ni (111) film (600 nm),1,10.0,50.0,30.0,300.0,25.0
CVD,1013.25,1000.0,10.0,Cu/Ni (111) film (500 nm),1,10.0,10.0,30.0,500.0,25.0
CVD,1013.25,1085.0,600.0,"Cu/Ni (111) film (500 nm, 23 at% Ni)",2,200.0,10.0,5.0,200.0,25.0
CVD,1013.25,1075.0,5.0,Cu/Ni (111) foil (1.3 to 8.6 at% Ni),1,50.0,5.0,40.0,1000.0,25.0
CVD,53.3289,1075.0,10.0,Cu/Ni (111) foil (16.6 or 20.3 at% Ni),2,10.0,1.0,50.0,200.0,0.3
CVD,53.3289,1075.0,30.0,Cu/Ni (111) foil (23â28 at% Ni),ML,200.0,12.5,30.0,200.0,12.0
CVD,67.9944,950.0,60.0,Si (100) wafer,Unknown,200.0,10.0,25.0,50.0,25.0
CVD,1013.25,915.0,60.0,Si (100) wafer,1,10.0,180.0,30.0,200.0,12.0
CVD,1013.25,910.0,130.0,Ge (110) wafer,1,30.0,0.5,50.0,200.0,25.0
CVD,133.322,915.0,120.0,H-terminated Ge (110) film,1,200.0,12.5,30.0,200.0,25.0
CVD,1013.25,950.0,90.0,Al2O3 (0001),1,50.0,30.0,20.0,200.0,20.0
CVD,25.06461,1200.0,30.0,H2-etched Al2O3 (0001),1,100.0,5.0,400.0,1000.0,0.4
CVD,9.99918,1200.0,360.0,Exfoliated h-BN,1,5.0,5.0,30.0,300.0,0.5
CVD,0.0506625,1250.0,22.5,Exfoliated h-BN,1,200.0,10.0,30.0,200.0,25.0
CVD,0.07999342,950.0,30.0,Thin layer graphite on Ni,1,50.0,10.0,30.0,100.0,12.0
CVD,1013.25,1000.0,30.0,Graphene formation on polycrystalline Ni,3.5,200.0,12.5,30.0,200.0,12.0
CVD,1013.25,1000.0,30.0,Graphene growth over e-beam evaporated Ni,1,65.0,550.0,30.0,200.0,25.0
CVD,1013.25,950.0,30.0,Graphene formation on polycrystalline Ni by wet-etching,,10.0,12.5,30.0,200.0,12.0
CVD,0.05332895,1000.0,30.0,Gram-scale graphene using MgO catalyst,5,200.0,6.0,30.0,200.0,25.0
CVD,0.3599704,1000.0,30.0,Catalytic graphene deposition on Cu,2,100.0,15.0,30.0,100.0,12.0
Roll-to-roll CVD,0.1199901,1000.0,30.0,Flexible polymer,,200.0,15.0,30.0,200.0,25.0
